SNR_dB,PU_Outage,SU_Outage,Feasible_Count,Infeasible_Count
0.0,0.799,0.975,25,975
2.0,0.622,0.916,84,916
4.0,0.45,0.764,236,764
6.0,0.32,0.594,406,594
8.0,0.223,0.436,564,436
10.0,0.156,0.347,653,347
12.0,0.086,0.212,788,212
14.0,0.064,0.152,848,152
16.0,0.038,0.109,891,109
18.0,0.027,0.074,926,74
20.0,0.015,0.06,940,60
22.0,0.006,0.028,972,28
24.0,0.003,0.038,962,38
26.0,0.005,0.026,974,26
28.0,0.003,0.035,965,35
30.0,0.001,0.02,980,20
